The Un-cola, nougatcenter
We try harder, nougatcenter
Winston Tastes Good Like A Cigarette Should, nougatcenter
Let your fingers do the walking, nougatcenter
Beef. ItÕs whatÕs for dinner, nougatcenter
The Ultimate Driving Machine, nougatcenter
The quicker picker-upper, nougatcenter
A little dabÕll do ya, nougatcenter
The king of beers, nougatcenter
This BudÕs For You, nougatcenter
Have it your way, nougatcenter
Got Milk?, nougatcenter
MÕm! MÕm! Good!, nougatcenter
The thrill of victory and the agony of defeat, nougatcenter
WhatÕs in your wallet?, nougatcenter
"Champale Makes You Feel Special, Every Day", nougatcenter
Please DonÕt Squeeze the Charmin, nougatcenter
See the USA in your Chevrolet, nougatcenter
The Heartbeat of America, nougatcenter
The Citi never sleeps, nougatcenter
Does she or doesnÕt she?, nougatcenter
Have a Coke, nougatcenter
ItÕs the real thing, nougatcenter
Open happiness, nougatcenter
Impossible is nothing, nougatcenter
It Works Every Time, nougatcenter
"Look, Ma, no cavities!", nougatcenter
A diamond is forever, nougatcenter
The happiest place on earth, nougatcenter
"When E.F. Hutton talks, people listen", nougatcenter
It keeps going... and going... and going, nougatcenter
"When it absolutely, positively has to be there overnight", nougatcenter
Hand built by robots, nougatcenter
Capitalist Tool, nougatcenter
They're G-r-r-r-r-eat!, nougatcenter
Stronger than dirt, nougatcenter
Say It With Flowers, nougatcenter
See what the future has in store, nougatcenter
Is it in you?, nougatcenter
So Easy a Caveman Can Do It, nougatcenter
We bring good things to life (GE), nougatcenter
Leave the driving to us, nougatcenter
"Pardon me, do you have any Grey Poupon?", nougatcenter
DonÕt be vague. Ask for Haig., nougatcenter
When you care enough to send the very best, nougatcenter
Let Hertz Put You In the DriverÕs Seat, nougatcenter
I canÕt believe I ate the whole thing, nougatcenter
Intel inside, nougatcenter
99 and 44/100% pure, nougatcenter
Nothing runs like a Deere, nougatcenter
Every kiss begins with Kay, nougatcenter
Finger lickinÕ good, nougatcenter
The relentless pursuit of perfection, nougatcenter
You donÕt have to be Jewish to love LevyÕs Rye Bread, nougatcenter
Because IÕm worth it, nougatcenter
Betcha canÕt eat just one, nougatcenter
"Melts in your mouth, not in your hands", nougatcenter
YouÕre in good hands with Allstate (Allstate), nougatcenter
"There are some things money canÕt buy, for everything else thereÕs MasterCard", nougatcenter
Good to the last drop, nougatcenter
IÕm lovinÕ it, nougatcenter
You Deserve a Break Today, nougatcenter
Tastes so good cats ask for it by name, nougatcenter
"Tastes great, less filling", nougatcenter
"When it rains, it pours!", nougatcenter
WeÕll leave a light on for you, nougatcenter
I love New York, nougatcenter
DonÕt leave home without it, nougatcenter
Just do it, nougatcenter
Connecting people, nougatcenter
Ask the Man Who Owns One, nougatcenter
This is your brain on drugs, nougatcenter
The choice of a new generation added by: KirkSaw, nougatcenter
It takes a tough man to make a tender chicken, nougatcenter
There is no substitute Porsche, nougatcenter
Snap! Crackle! Pop!, nougatcenter
How do you spell relief? R-O-L-A-I-D-S, nougatcenter
Taste the Rainbow, nougatcenter
Think Different, nougatcenter
We make money the old-fashioned way. We earn it., nougatcenter
"With a name like SmuckerÕs, it has to be good", nougatcenter
Obey your thirst, nougatcenter
That was easy, nougatcenter
You can trust your car to the man who wears the star, nougatcenter
It is. Are you?, nougatcenter
All the news thatÕs fit to print, nougatcenter
Takes a licking and keeps on ticking, nougatcenter
Trix Are For Kids, nougatcenter
Fly the Friendly Skies, nougatcenter
Reach out and touch someone, nougatcenter
A mind is a terrible thing to waste, nougatcenter
What Can Brown Do For You?, nougatcenter
Be all that you can be, nougatcenter
Only you can prevent forest fires, nougatcenter
We deliver, nougatcenter
Can you hear me now?, nougatcenter
Think Small, nougatcenter
WhereÕs the beef?, nougatcenter
The Breakfast of champions, nougatcenter
"You give us 22 minutes, weÕll give you the world", nougatcenter
Come along Pond!, nougatcenter
You are the Weakest Link! Goodbye!, nougatcenter
...but that's exactly what they're expecting us to do., nougatcenter
Let the treacle see the pudding, nougatcenter
Time at current address...11.30, nougatcenter
Whose knowledge never went to college?, nougatcenter
A real bobby-dazzler, nougatcenter
Leeroy Jenkins!, nougatcenter
How very dare you!, nougatcenter
"Being an idiot are we, slapping me are we?", nougatcenter
Bring On The Wall, nougatcenter
MOM!, nougatcenter
I'm the only gay in the village, nougatcenter
Let the apple see the crumble, nougatcenter
Make it blue, nougatcenter
I mean yeah but no but yeah but no, nougatcenter
I'm so sorry..., nougatcenter
Keep it low, nougatcenter
Ello Ma!, nougatcenter
Let the see see the saw, nougatcenter
Breast clap!, nougatcenter
"No need to get emotional,we're not Spanish", nougatcenter
Let the monkey see the nuts!, nougatcenter
How hard can it be?, nougatcenter
Let the flip see the flop, nougatcenter
Oh Crap!!, nougatcenter
Well..., nougatcenter
An Idea can change your life, nougatcenter
Allons-y!, nougatcenter
I've got your card marked, nougatcenter
This is absoloutly FABILOSIBISIBOS, nougatcenter
The fight is on!, nougatcenter
Go on...have a guess, nougatcenter
Previously in my life ..., nougatcenter
That money will go through to the next round - but one of you will not!, nougatcenter
Fabulous, nougatcenter
And from everyone here, nougatcenter
Let the shoe see the horn, nougatcenter
Let the shepherd see the pie, nougatcenter
Crunch Bogus!, nougatcenter
BECAUSE I'M CRAZY!!!, nougatcenter
Let the hokey see the cokey, nougatcenter
Let the bubble see the bath, nougatcenter
I'm not making this up, nougatcenter
Garlic Bread!, nougatcenter
I knew I was going bald when it was taking longer to wash my face, nougatcenter
This is American Idol!, nougatcenter
"No likey, no lighty!", nougatcenter
I dunno, nougatcenter
Let the tongue see the groove, nougatcenter
What a load of ol' shit!, nougatcenter
Come back for some more Bargain Hunt...yes? Yes!, nougatcenter
Let the rubber see the duck, nougatcenter
Let the hanky see the panky, nougatcenter
Moons give me strength, nougatcenter
22 identically sealed boxes and no questions except one, nougatcenter
Hi I'm Daisy!, nougatcenter
Marvolissimussolini!!!, nougatcenter
Could be a duffer, nougatcenter
See you after the break, nougatcenter
"Oh, that's nasty", nougatcenter
It's time to vote off the weakest link!, nougatcenter
"Hey, where's Perry?", nougatcenter
Now for the blue team, nougatcenter
Eat Fresh, nougatcenter
Boxes don't have memories, nougatcenter
chippy chips, nougatcenter
...and on that bombshell..., nougatcenter
Start the clock!, nougatcenter
The Cake is a Lie!, nougatcenter
Very very very good luck, nougatcenter
The Tribe has spoken., nougatcenter
Let the tongue see the twister, nougatcenter
Whose leg do you have to hump to get a dry martini around here?, nougatcenter
YEEEEES!, nougatcenter
Let the sweet see the sour, nougatcenter
Let's hear your buzzers, nougatcenter
I'm a lady, nougatcenter
It's not how you start...it's how you finish, nougatcenter
Who is the first cuckoo of spring?, nougatcenter
"Which is Better? There's only one way to find out, FIGHT!", nougatcenter
Let the plum see the pudding, nougatcenter
We welcome listeners not only in this country but all over the world, nougatcenter
You havin' a laugh?, nougatcenter
There's only one way to find out...FIGHT!!, nougatcenter
Phineas and Ferb are making/building a (insert invention's name)!, nougatcenter
No Lord Sugar, nougatcenter
Look at my face...is my face bovvered? Face? Bovvered?, nougatcenter
Absolute filth ...I loved it!, nougatcenter
The QI elves are beavering away, nougatcenter
You're my favourites, nougatcenter
What?, nougatcenter
DonÕt be seduced by the board?, nougatcenter
Show time!, nougatcenter
You guys are so busted!, nougatcenter
The Silver Fox (referring to Nicholas Parsons), nougatcenter
Have You Met Life Today?, nougatcenter
This must not be the quarter of a million., nougatcenter
Will our farmer boy harvest a honey?, nougatcenter
One size does not fit all!, nougatcenter
It's hero time, nougatcenter
Let the pork see the chop, nougatcenter
Keeeeeep dancin'!, nougatcenter
Let the treasure see the chest, nougatcenter
That's not gone well, nougatcenter
The perfect start, nougatcenter
Brand Harry Spankers, nougatcenter
...in the world., nougatcenter
Who's going to be in charge of the money?, nougatcenter
Alan goes..., nougatcenter
Hello Moto, nougatcenter
No shame no gain!, nougatcenter
"Come along, Pond", nougatcenter
How serendipitous, nougatcenter
Are you ready for the question?, nougatcenter
Let the cat see the cream, nougatcenter
It was a dahnce di-SAH-ster dahling, nougatcenter
"If I don't see you through the week, I'll see you through the window", nougatcenter
Here comes the item now..., nougatcenter
"Rangers together, Samurai forever!", nougatcenter
Delete!, nougatcenter
Let the cream see the con, nougatcenter
Let the belly see the button, nougatcenter
I'm such a dweeby blurter, nougatcenter
Calm down dear it's only a commercial!, nougatcenter
Destroy them. Destroy them at once!, nougatcenter
"He's just a platypus, they don't do much", nougatcenter
I've made up my mind - you're the best, nougatcenter
Please join me at the ÔCrazy ChairÕ, nougatcenter
I like to keep moving forward, nougatcenter
And from everyone here Ð and I do mean everyone, nougatcenter
Don't forget your 'Nobody Knows' joker, nougatcenter
Let the crown see the jewels, nougatcenter
Why does it keep happening?, nougatcenter
What are the chances of that happening?, nougatcenter
I Certainly Didn't Expect To See That, nougatcenter
Stick Together, nougatcenter
Hello I'm the doctor!, nougatcenter
You will become like us, nougatcenter
Don't say that!, nougatcenter
You bastard, nougatcenter
"3, 2, 1... Let it rip!", nougatcenter
Deal or no deal?, nougatcenter
You are the Weakest Link...Goodbye, nougatcenter
This truly is a one box game now., nougatcenter
I'm lovin' it, nougatcenter
You will be upgraded, nougatcenter
(To the defeated finalist) You leave with nothing!, nougatcenter
Let the prawn see the cracker, nougatcenter
Oh dear oh dear oh dear (usually when a klaxon goes off), nougatcenter
...is just astonishing, nougatcenter
Trust me...I'm the Doctor, nougatcenter
Let the goose see the gander, nougatcenter
POWERRRRRRRRRRR!, nougatcenter
I Beg Your Pardon of the Week, nougatcenter
Who is going to be a Banker spanker?, nougatcenter
We do not want to see the quarter of a million, nougatcenter
Now for the red team, nougatcenter
"Ferb, I know what we're gonna do today!", nougatcenter
Excuse me, nougatcenter
Seize the day, nougatcenter
What? What? What?, nougatcenter
Where's baby David?, nougatcenter
And we leave you with this thought..., nougatcenter
Wii would like to play., nougatcenter
Such fun!, nougatcenter
"Shut up, Meg", nougatcenter
Let the pinky see the perky!, nougatcenter
Less bitching more stitching, nougatcenter
Have the courage to vote off the weakest link!, nougatcenter
Not like that!, nougatcenter
What are you like, nougatcenter
Taste the Rainbow., nougatcenter
Just a have a guess...Go on...Go on (insistently), nougatcenter
Let the gear see the stick, nougatcenter
Let the bees see the knees, nougatcenter
Axalot (Thanks a lot), nougatcenter
Requiescat in Pace, nougatcenter
"Cabinets fit for royalty, but affordable for all!", nougatcenter
Blast!, nougatcenter
Well that can't be good, nougatcenter
Platypusses ARE the only mammals to lay eggs, nougatcenter
You're obsessed with the reds! when a contestant keeps on taking out red amounts, nougatcenter
It pays to advertise!, nougatcenter
Are you calling me stupid?, nougatcenter
Bucket full of soz!, nougatcenter
Let the hocus see the pocus, nougatcenter
How You Doin'?, nougatcenter
How did I not see that coming?, nougatcenter
Keep it low...keep it blue., nougatcenter
I was there..., nougatcenter
Wink!, nougatcenter
Where Has The Knitted Character Been This Week?, nougatcenter
Let the lolly see the pop, nougatcenter
Channel 4 is all yours, nougatcenter
Yes Lord Sugar, nougatcenter
Wibbly Wobbley, nougatcenter
...And welcome to QI, nougatcenter
I don't like schmoozers, nougatcenter
"Oh, there you are, Perry.", nougatcenter
Are you calling me a pikey?, nougatcenter
Run!, nougatcenter
Eat my pants, nougatcenter
What a f***ing' liberty!, nougatcenter
Nice to twirl you..., nougatcenter
Let the tutti see the fruitti, nougatcenter
Thank you Lord Sugar for the opportunity, nougatcenter
Good morning Lord Sugar, nougatcenter
Why don't you shut up though?, nougatcenter
Has anybody got a hammer?, nougatcenter
Good evening good evening good evening good evening, nougatcenter
Life's Good, nougatcenter
Let's play The Weakest Link!, nougatcenter
Do you mind if I call you girls?, nougatcenter
Cheap as chips, nougatcenter
In A Nutshell, nougatcenter
What the deuce?, nougatcenter
Are ya calling me dad poor?, nougatcenter
Damn you all!, nougatcenter
Who dear? Me dear? Gay dear? No dear!, nougatcenter
Who clapped!?, nougatcenter
B-b-b-but??, nougatcenter
The World's Online Market Place, nougatcenter
(At the end of the show): Join us again on The Weakest Link - goodbye!, nougatcenter
Let the oyster see the pearl, nougatcenter
Blazing Speed!, nougatcenter
Vile Woman!, nougatcenter
I want that one, nougatcenter
I can't do this anymore Max, nougatcenter
Let the pina see the colada, nougatcenter
Geronimo!, nougatcenter
Let the chimi see the changa, nougatcenter
Send the contestants in please, nougatcenter
Fab-u-LOUS!, nougatcenter
Let the wibble see the wobble, nougatcenter
Timey-Wimey, nougatcenter
Let the onion see the bhaji, nougatcenter
Let the wiener see the schnitzel, nougatcenter
Am I bovvered?, nougatcenter
Let the winkle see the picker!, nougatcenter
What am I like, nougatcenter
You know the rules...your experts await and off you go, nougatcenter
You won't believe what's just happened, nougatcenter
And the thought never occurred to you until I said it!, nougatcenter
Goooooooooood...evening, nougatcenter
Let's (something) this baby up, nougatcenter
It's your show., nougatcenter
I Have Fury!, nougatcenter
Fezzes are cool, nougatcenter
Let's cheer for the beer! All hail to the ale! And welcome the wine... for the ladies, nougatcenter
Are you disrespecting my family?, nougatcenter
Let the sausage see the roll, nougatcenter
Let the nut see the cracker, nougatcenter
Let the banana see the split, nougatcenter
What sort of items are you going to look for?, nougatcenter
I don't want to hear any more, nougatcenter
The dirty bastards!, nougatcenter
Are you gonna take the left or the right turn?, nougatcenter
Oh... cock., nougatcenter
We only call ourselves QUITE Interesting..., nougatcenter
"Whatcha Doin?"""" """, nougatcenter
You are the official winners of the Amazing Race!, nougatcenter
Prepare yourself!, nougatcenter
The world is waiting for you. Travel safe... GO!, nougatcenter
Tell me why I shouldn't get rid of you, nougatcenter
"Actually,...""", nougatcenter
Hello Banker, nougatcenter
A load of tat, nougatcenter
Freakin' sweet!, nougatcenter
It's the moment of truth, nougatcenter
Let the toad see the hole, nougatcenter
Blue Rogues attack!, nougatcenter
Silence!!, nougatcenter
IÕm calling a break., nougatcenter
"He's right behind me, isn't he?""", nougatcenter
Computer says no, nougatcenter
You're Goin' Down, nougatcenter
Sonic's my name speed's my game!, nougatcenter
Let the bubble see the squeak, nougatcenter
Let the chimney see the sweep, nougatcenter
Open the box...after the break, nougatcenter
Is it the blue whale?, nougatcenter
Let the burger see the buns, nougatcenter
Imagine me with a Brazillian!!, nougatcenter
I'm sorry to tell you that you have been eliminated from the race., nougatcenter
Let the crank see the shaft, nougatcenter
Whose village is missing its idiot?, nougatcenter
Let the pea see the pod, nougatcenter
Let the blueberry see the muffin, nougatcenter
The audience enjoyed your interruption so we'll give you a bonus point, nougatcenter
We know what we donÕt want to see., nougatcenter
Seven (Seerrrvvvvveeeeen!), nougatcenter
Let the bat see the ball, nougatcenter
Can I have some points please?, nougatcenter
I think you'll be there, nougatcenter
I love ya Tan' (Tanya), nougatcenter
Now as you'd expect...I've done this properly., nougatcenter
Sausage Surprise!, nougatcenter
Let the door see the knocker, nougatcenter
I do it!, nougatcenter
And now to the round we call General Ignorance, nougatcenter
Let the whoopee see the cushion, nougatcenter
Let's do it!!, nougatcenter
Let the canon see the ball, nougatcenter
Behold! Pirate's Wrath!, nougatcenter
He's all gong and no dinner, nougatcenter
Minus ten points!, nougatcenter
A-ma-ZING!, nougatcenter
That's a common misconception..., nougatcenter
Is it cos I is Black?, nougatcenter
Oh good lord thats moist, nougatcenter
Don't try this at home kids, nougatcenter
I am a driving God!, nougatcenter
