LIKE A ROLLING STONE,nougatcenter
SMELLS LIKE TEEN SPIRIT,nougatcenter
A DAY IN THE LIFE,nougatcenter
GOOD VIBRATIONS,nougatcenter
(I CAN'T GET NO) SATISFACTION,nougatcenter
I HEARD IT THROUGH THE GRAPEVINE,nougatcenter
BE MY BABY,nougatcenter
STRAWBERRY FIELDS FOREVER,nougatcenter
RESPECT,nougatcenter
WHAT'S GOING ON,nougatcenter
LOVE WILL TEAR US APART,nougatcenter
JOHNNY B. GOODE,nougatcenter
BORN TO RUN,nougatcenter
MY GENERATION,nougatcenter
HEARTBREAK HOTEL,nougatcenter
BILLIE JEAN,nougatcenter
(SITTIN' ON) THE DOCK OF THE BAY,nougatcenter
GOD ONLY KNOWS,nougatcenter
ANARCHY IN THE U.K.,nougatcenter
SYMPATHY FOR THE DEVIL,nougatcenter
LONDON CALLING,nougatcenter
STAIRWAY TO HEAVEN,nougatcenter
GOD SAVE THE QUEEN,nougatcenter
THE MESSAGE,nougatcenter
IMAGINE,nougatcenter
HEROES,nougatcenter
GIMME SHELTER,nougatcenter
WHEN DOVES CRY,nougatcenter
WATERLOO SUNSET,nougatcenter
HEY YA!,nougatcenter
YOU REALLY GOT ME,nougatcenter
LOUIE LOUIE,nougatcenter
BLUE MONDAY,nougatcenter
WHAT'D I SAY,nougatcenter
SUPERSTITION,nougatcenter
RIVER DEEP - MOUNTAIN HIGH,nougatcenter
I WANT YOU BACK,nougatcenter
TUTTI FRUTTI,nougatcenter
YOU'VE LOST THAT LOVIN' FEELIN',nougatcenter
HEY JUDE,nougatcenter
COMMON PEOPLE,nougatcenter
PAPER PLANES,nougatcenter
PURPLE HAZE,nougatcenter
LOSING MY RELIGION,nougatcenter
I WANT TO HOLD YOUR HAND,nougatcenter
A CHANGE IS GONNA COME,nougatcenter
SEVEN NATION ARMY,nougatcenter
CRAZY IN LOVE,nougatcenter
BOHEMIAN RHAPSODY,nougatcenter
UNFINISHED SYMPATHY,nougatcenter
JUMPIN' JACK FLASH,nougatcenter
MR. TAMBOURINE MAN,nougatcenter
TAKE ME OUT,nougatcenter
WALK ON THE WILD SIDE,nougatcenter
GET LUCKY,nougatcenter
BITTER SWEET SYMPHONY,nougatcenter
LIGHT MY FIRE,nougatcenter
REACH OUT I'LL BE THERE,nougatcenter
SUSPICIOUS MINDS,nougatcenter
THE TRACKS OF MY TEARS,nougatcenter
LOSER,nougatcenter
THAT'LL BE THE DAY,nougatcenter
LAYLA,nougatcenter
I'M WAITING FOR THE MAN,nougatcenter
ALL ALONG THE WATCHTOWER,nougatcenter
CRAZY,nougatcenter
STAND BY ME,nougatcenter
LET'S STAY TOGETHER,nougatcenter
GET UR FREAK ON,nougatcenter
ONCE IN A LIFETIME,nougatcenter
DANCING IN THE STREET,nougatcenter
STRANGE FRUIT,nougatcenter
I FEEL LOVE,nougatcenter
HOTEL CALIFORNIA,nougatcenter
(WE'RE GONNA) ROCK AROUND THE CLOCK,nougatcenter
HOUND DOG,nougatcenter
GHOST TOWN,nougatcenter
THERE IS A LIGHT THAT NEVER GOES OUT,nougatcenter
SPACE ODDITY,nougatcenter
PAPA'S GOT A BRAND NEW BAG,nougatcenter
BLITZKRIEG BOP,nougatcenter
CALIFORNIA DREAMIN',nougatcenter
HOW SOON IS NOW?,nougatcenter
THIS CHARMING MAN,nougatcenter
 PROBLEMS,nougatcenter
WHOLE LOTTA SHAKIN' GOIN' ON,nougatcenter
LIFE ON MARS?,nougatcenter
PARANOID ANDROID,nougatcenter
GOOD TIMES,nougatcenter
ONE,nougatcenter
BLUE SUEDE SHOES,nougatcenter
HOUSE OF THE RISING SUN,nougatcenter
WHOLE LOTTA LOVE,nougatcenter
EIGHT MILES HIGH,nougatcenter
THUNDER ROAD,nougatcenter
TANGLED UP IN BLUE,nougatcenter
BRIDGE OVER TROUBLED WATER,nougatcenter
MAYBELLENE,nougatcenter
SUMMERTIME BLUES,nougatcenter
FOR WHAT IT'S WORTH,nougatcenter
THAT'S ALL RIGHT,nougatcenter
DANCING QUEEN,nougatcenter
LIVE FOREVER,nougatcenter
SWEET CHILD O' MINE,nougatcenter
ALL MY FRIENDS,nougatcenter
MAGGIE MAY,nougatcenter
FIGHT THE POWER,nougatcenter
PROUD MARY,nougatcenter
NOTHING COMPARES  U,nougatcenter
WALK THIS WAY,nougatcenter
LOSING MY EDGE,nougatcenter
BORN SLIPPY,nougatcenter
NO WOMAN NO CRY,nougatcenter
SHE LOVES YOU,nougatcenter
IN MY LIFE,nougatcenter
WONDERWALL,nougatcenter
YESTERDAY,nougatcenter
WHEN A MAN LOVES A WOMAN,nougatcenter
I WALK THE LINE,nougatcenter
(WHITE MAN) IN HAMMERSMITH PALAIS,nougatcenter
MIDNIGHT CITY,nougatcenter
A WHITER SHADE OF PALE,nougatcenter
THE WEIGHT,nougatcenter
EVERY BREATH YOU TAKE,nougatcenter
MY GIRL,nougatcenter
PEGGY SUE,nougatcenter
HONKY TONK WOMEN,nougatcenter
WON'T GET FOOLED AGAIN,nougatcenter
MYSTERY TRAIN,nougatcenter
GET IT ON [BANG A GONG (GET IT ON)],nougatcenter
